"cmc","oracle_text","rarity","num_printings","price"
4,"Haunt (When this creature dies, exile it haunting target creature.)
When Absolver Thrull enters the battlefield or the creature it haunts dies, destroy target enchantment.","common",1,0.09
3,"Counter target spell. You gain 3 life.","rare",8,0.29
2,"Return target creature to its owner's hand. You may have Shapeshifters you control become copies of that creature until end of turn.","uncommon",1,0.17
7,"Target player loses 4 life and you gain 4 life.
Basic landcycling {1}{B} ({1}{B}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)","common",5,0.04
2,"Whenever you cast a spell, note the first letter of its artist's name. If that letter wasn't already noted, put a +1/+1 counter on Abstract Iguanart.","uncommon",1,0.15
4,"Vigilance
{1}, {T}: Copy target activated or triggered ability you control from a colorless source. You may choose new targets for the copy. (Mana abilities can't be targeted.)","rare",2,1.2
3,"Devoid (This card has no color.)
Counter target spell unless its controller pays {1}. You create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."" ({C} represents colorless mana.)","common",1,0.04
4,"Return target artifact or non-Aura enchantment card from your graveyard to the battlefield with X additional +1/+1 counters on it. It's a 1/1 Spirit creature with flying in addition to its other types.","rare",2,0.88
3,"Flying, ward {2}
{1}{W}{U}: Exile another target creature or artifact you control. Return it to the battlefield under its owner's control at the beginning of the next end step.","rare",2,0.23
2,"{T}: Prevent the next 1 damage that would be dealt to any target this turn.
{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.","uncommon",1,0.16
4,"Choose one —
• You gain 5 life.
• Prevent the next 5 damage that would be dealt to target creature this turn.
Entwine {2} (Choose both if you pay the entwine cost.)","common",1,0.05
4,"If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.","rare",8,0.2
1,"Enchant land
When Abundant Growth enters the battlefield, draw a card.
Enchanted land has ""{T}: Add one mana of any color.""","rare",6,13.63
1,"Choose land or nonland. Reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and the rest on the bottom of your library in a random order.","common",5,0.03
2,"When Abyssal Gatekeeper dies, each player sacrifices a creature.","common",4,1.15
6,"When Abyssal Gorestalker enters the battlefield, each player sacrifices two creatures.","uncommon",1,0.04
4,"{B}, {T}: Tap target creature. Abyssal Hunter deals damage equal to Abyssal Hunter's power to that creature.","rare",2,0.26
4,"Whenever Abyssal Nightstalker attacks and isn't blocked, defending player discards a card.","uncommon",1,0.38
3,"Whenever an opponent discards a card, Abyssal Nocturnus gets +2/+2 and gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)","rare",1,0.85
4,"Flying, trample
You can't win the game and your opponents can't lose the game.","mythic",5,7.76
4,"Flying
Whenever Abyssal Specter deals damage to a player, that player discards a card.","uncommon",14,0.09
2,"Target player sacrifices an enchantment. Bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)","common",1,0.06
3,"{T}: Add {W}, {B}, or {G}.
{W}{B}{G}, {T}, Sacrifice Abzan Banner: Draw a card.","common",1,0.08
4,"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has lifelink.","uncommon",4,0.18
3,"Choose one —
• Exile target creature with power 3 or greater.
• You draw two cards and you lose 2 life.
• Distribute two +1/+1 counters among one or two target creatures.","uncommon",6,0.09
3,"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has flying.","uncommon",10,0.1
6,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Morph {2}{W}{B}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)","common",2,0.02
4,"Abzan Kin-Guard has lifelink as long as you control a white or black permanent.","uncommon",1,0.06
3,"Enchant creature
Enchanted creature gets +2/+2.
Enchanted creature has vigilance as long as you control a black or green permanent.","common",2,0.18
4,"Flying
When Abzan Skycaptain dies, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)","common",1,0.03
1,"Target creature blocks this turn if able. You may have it gain reach until end of turn.
Learn. (You may reveal a Lesson card you own from outside the game and put it into your hand, or discard a card to draw a card.)","uncommon",1,0.03
3,"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Flying
If Academy Drake was kicked, it enters the battlefield with two +1/+1 counters on it.","common",1,0.02
4,"Academy Elite enters the battlefield with X +1/+1 counters on it, where X is the number of instant and sorcery cards in all graveyards.
{2}{U}, Remove a +1/+1 counter from Academy Elite: Draw a card, then discard a card.","rare",4,0.15
5,"This spell costs {1} less to cast if you control a Wizard.
When Academy Journeymage enters the battlefield, return target creature an opponent controls to its owner's hand.","common",3,0.02
3,"If you would create a Clue, Food, or Treasure token, instead create one of each.","rare",6,5.35
3,"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
Whenever Academy Raider deals combat damage to a player, you may discard a card. If you do, draw a card.","common",1,0.04
4,"When Academy Rector dies, you may exile it. If you do, search your library for an enchantment card, put that card onto the battlefield, then shuffle.","rare",2,24.06
3,"When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.","uncommon",2,0.15
3,"Defender
Whenever you cast an instant or sorcery spell, you may draw a card. If you do, discard a card. This ability triggers only once each turn.","common",1,0.01
0,"At the beginning of your end step, if you have no cards in hand, draw seven cards.
Whenever chaos ensues, discard your hand.","common",2,11.98
2,"Target creature gains haste until end of turn.
Draw a card.","common",1,0.43
5,"Target creature gets +X/+X until end of turn, where X is the highest mana value among permanents you control.","common",1,0.07
4,"As an additional cost to cast this spell, discard a card at random.
Acceptable Losses deals 5 damage to target creature.","common",1,0.08
0,"{T}: Add {C}.
{3}, {T}: Target creature with power 3 or less can't be blocked this turn.","uncommon",2,1.19
0,"Whenever you crank Accessories to Murder, target creature gets +X/+0 until end of turn, where X is the number of creatures you control.","uncommon",1,0.18
3,"When Acclaimed Contender enters the battlefield, if you control another Knight, look at the top five cards of your library. You may reveal a Knight, Aura, Equipment, or legendary artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.","rare",5,0.14
7,"Fabricate 1 (When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)","common",2,0.02
2,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)","uncommon",1,0.19
2,"Draw a card, then draw cards equal to the number of cards named Accumulated Knowledge in all graveyards.","common",7,0.2
1,"When Accursed Centaur enters the battlefield, sacrifice a creature.","common",1,0.12
4,"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)","common",3,0.03
2,"Equipped creature gets +3/+0.
As long as equipped creature is attacking, it has first strike and must be blocked by a Dalek if able.
Equip legendary creature {1}
Equip {3}","rare",4,0.11
4,"Nitro-9 — Whenever Ace, Fearless Rebel attacks, you may sacrifice an artifact. When you do, put a +1/+1 counter on Ace, Fearless Rebel, then it fights up to one target creature defending player controls.
Doctor's companion (You can have two commanders if the other is the Doctor.)","rare",4,0.58
5,"Reach
When Acid Web Spider enters the battlefield, you may destroy target Equipment.","uncommon",1,0.22
6,"Flying, deathtouch
Megamorph {5}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Acid-Spewer Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control.","uncommon",1,0.15
4,"{4}, {T}: Whenever target creature deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature. When the targeted creature leaves the battlefield this turn, sacrifice Acidic Dagger. Activate only before blockers are declared.","rare",1,0.65
5,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.","uncommon",25,0.12
3,"Acidic Soil deals damage to each player equal to the number of lands they control.","uncommon",2,1.03
5,NA,"mythic",2,4.82
3,"Heavy Rock Cutter — Whenever Acolyte Hybrid attacks, destroy up to one target artifact. If an artifact is destroyed this way, its controller draws a card.","uncommon",2,0.05
3,"{T}, Sacrifice another creature or artifact: Each opponent loses 1 life and you gain 1 life.","common",1,0.04
4,"When Acolyte of Affliction enters the battlefield, mill two cards, then you may return a permanent card from your graveyard to your hand.","uncommon",1,0.08
3,"Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)
Whenever Acolyte of the Inferno becomes blocked by a creature, it deals 2 damage to that creature.","uncommon",1,0.08
2,"Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to any target. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)","uncommon",1,0.07
4,"{1}, {T}: Acorn Catapult deals 1 damage to any target. That permanent's controller or that player creates a 1/1 green Squirrel creature token.","rare",2,6.15
4,"Create two 1/1 green Squirrel creature tokens.
Flashback—{1}{G}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)","common",1,0.4
5,"Search target opponent's library for an artifact card and put that card onto the battlefield under your control. Then that player shuffles.","rare",2,9.34
3,"Whenever Acquisition Octopus or equipped creature deals combat damage to a player, draw a card.
Reconfigure {2} ({2}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)","uncommon",1,0.04
2,"When Acquisitions Expert enters the battlefield, target opponent reveals a number of cards from their hand equal to the number of creatures in your party. You choose one of those cards. That player discards that card. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)","uncommon",1,0.15
2,"Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)","common",1,0.18
1,"Target creature gets +1/+3 and gains flying until end of turn. Untap it.","common",1,0.02
3,"Exile target creature you control, then return that card to the battlefield under its owner's control.
Draw a card.","common",3,0.2
5,"({R/P} can be paid with either {R} or 2 life.)
Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn.","uncommon",2,0.31
3,"When Act of Authority enters the battlefield, you may exile target artifact or enchantment.
At the beginning of your upkeep, you may exile target artifact or enchantment. If you do, its controller gains control of Act of Authority.","rare",1,0.94
2,"Untap target creature. It gets +2/+2 until end of turn and can block an additional creature this turn.","common",2,0.03
3,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.)","common",16,0.04
3,"Exile the top three cards of your library. Until end of turn, you may play cards exiled this way. (If you cast a spell this way, you still pay its costs. You can play a land this way only if you have an available land play remaining.)","uncommon",3,0.13
3,"Flash
You may have Activated Sleeper enter the battlefield as a copy of any creature card in a graveyard that was put there from the battlefield this turn, except it's a Phyrexian in addition to its other types.","rare",2,0.76
5,"Reveal the top card of your library and put that card into your hand. You lose life equal to its mana value. You may repeat this process any number of times.","rare",2,15.88
2,"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)","common",3,0.06
3,"Adamaro, First to Desire's power and toughness are each equal to the number of cards in the hand of the opponent with the most cards in hand.","rare",1,0.85
2,"As long as Adanto Vanguard is attacking, it gets +2/+0.
Pay 4 life: Adanto Vanguard gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)","uncommon",2,0.33
3,"As Adaptive Automaton enters the battlefield, choose a creature type.
Adaptive Automaton is the chosen type in addition to its other types.
Other creatures you control of the chosen type get +1/+1.","rare",7,3.13
4,"Tap two untapped artifacts and/or creatures you control: Put a +1/+1 counter on Adaptive Gemguard. Activate only as a sorcery.","common",1,0.03
5,"Flash
Adaptive Shimmerer enters the battlefield with three +1/+1 counters on it.","common",1,0.02
3,"Vigilance
When Adaptive Sporesinger enters the battlefield, choose one —
• Target creature gets +2/+2 and gains vigilance until end of turn.
• Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)","common",1,0.02
3,"{T}: Add {U} or {C}{U}. Spend this mana only to pay cumulative upkeep costs.","common",1,0.12
6,"Flying, vigilance
{T}: When target creature other than Adarkar Valkyrie dies this turn, return that card to the battlefield under your control.","rare",5,4.58
5,"Flying
{1}{S}: Target creature loses flying until end of turn. ({S} can be paid with one mana from a snow source.)","uncommon",1,0.23
2,"When Adder-Staff Boggart enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Adder-Staff Boggart. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)","common",1,0.07
3,"Vigilance
Adeline, Resplendent Cathar's power is equal to the number of creatures you control.
Whenever you attack, for each opponent, create a 1/1 white Human creature token that's tapped and attacking that player or a planeswalker they control.","rare",6,9.46
3,"Flying, haste
Whenever you cast an instant or sorcery spell, Wizards you control get +1/+1 until end of turn.","uncommon",3,0.69
2,"At the beginning of combat on your turn, if you control a Basri planeswalker, put a +1/+1 counter on Adherent of Hope.","common",1,0.12
4,"Emerge {5}{W} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When Adipose Offspring enters the battlefield, create a 2/2 white Alien creature token. If Adipose Offspring's emerge cost was paid, instead create X of those tokens, where X is the sacrificed creature's toughness.","rare",4,0.15
5,"When Admiral Brass, Unsinkable enters the battlefield, mill four cards.
At the beginning of combat on your turn, you may return target Pirate creature card from your graveyard to the battlefield with a finality counter on it. It has base power and toughness 4/4. It gains haste until end of turn. (If a creature with a finality counter on it would die, exile it instead.)","mythic",4,0.33
3,"Raid — If you attacked this turn, you may pay {U} rather than pay this spell's mana cost.
Counter target spell.","rare",3,0.31
6,"Flying
Landfall — Whenever a land enters the battlefield under your control, you may exile target nonland permanent other than Admonition Angel.
When Admonition Angel leaves the battlefield, return all cards exiled with it to the battlefield under their owners' control.","mythic",3,31.89
1,"When this creature enters the battlefield, roll a six-sided die. You gain life equal to the result.","common",2,0.16
0,"Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.)
Whenever a creature you control with the chosen name attacks, you may pay {W}. If you do, that creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)","common",1,0.03
5,"Melee (Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked this combat.)
Other creatures you control have melee. (If a creature has multiple instances of melee, each triggers separately.)","rare",5,0.22
2,"First strike
{W}: Target creature gains first strike until end of turn.","common",2,0.22
4,"Flying
{U}: Advanced Hoverguard gains shroud until end of turn. (It can't be the target of spells or abilities.)","common",1,0.05
0,"(Start the game with this conspiracy face up in the command zone.)
Your minimum deck size is reduced by five.","uncommon",1,0.24
4,"Create a 5/5 green Wurm creature token with trample.","rare",3,0.26
2,"Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. If you didn't put a card into your hand this way, draw a card.","common",1,0.03
0,"Green legendary creatures you control have ""bands with other legendary creatures."" (Any legendary creatures can attack in a band as long as at least one has ""bands with other legendary creatures."" Bands are blocked as a group. If at least two legendary creatures you control, one of which has ""bands with other legendary creatures,"" are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)","uncommon",1,8.19
1,"Landfall — Whenever a land enters the battlefield under your control, equipped creature gets +2/+2 until end of turn.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)","common",2,0.16
1,"Look at the top three cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in any order.","common",6,0.04
4,"Devoid (This card has no color.)
Tap up to two target creatures. Those creatures don't untap during their controller's next untap step. Create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}.""","uncommon",1,0.07
6,"({2/U} can be paid with any two mana or with {U}. This card's mana value is 6.)
Look at the top five cards of your library. If you control more creatures than each other player, put two of those cards into your hand. Otherwise, put one of them into your hand. Then put the rest on the bottom of your library in any order.","uncommon",1,0.26
3,"At the beginning of your end step, put a +1/+1 counter on target Beast creature you control.","common",1,0.07
3,"Whenever a creature or planeswalker an opponent controls is dealt excess damage, if a Giant, Wizard, or spell you controlled dealt damage to it this turn, draw a card.","uncommon",7,0.04
6,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aegis Angel enters the battlefield, another target permanent gains indestructible for as long as you control Aegis Angel. (Effects that say ""destroy"" don't destroy it. A creature with indestructible can't be destroyed by damage.)","rare",5,0.42
2,"{4}{W}: Return another target creature you control to its owner's hand.","common",1,0.03
1,"","common",2,0.07
1,"{1}: The next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.","rare",1,1.34
2,"You have hexproof. (You can't be the target of spells or abilities your opponents control.)","rare",1,1.26
2,"Target creature gets +1/+7 until end of turn.","uncommon",2,0.26
3,"{1}, {T}: Target 1/1 creature gets +1/+2 until end of turn.","rare",1,0.68
5,"Aeon Chronicler's power and toughness are each equal to the number of cards in your hand.
Suspend X—{X}{3}{U}. X can't be 0.
Whenever a time counter is removed from Aeon Chronicler while it's exiled, draw a card.","rare",4,0.24
5,"Aeon Engine enters the battlefield tapped.
{T}, Exile Aeon Engine: Reverse the game's turn order. (For example, if play had proceeded clockwise around the table, it now goes counterclockwise.)","rare",1,0.18
5,"Rampage 3 (Whenever this creature becomes blocked, it gets +3/+3 until end of turn for each creature blocking it beyond the first.)","uncommon",1,4.32
3,"Destroy target tapped creature. You gain 1 life for each creature you control with flying.","common",2,0.04
2,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Target creature gets +2/+2 and gains flying until end of turn.","common",1,0.02
6,"Flying
{1}{U}{U}: Exile the top card of your library. Until end of turn, you may play that card. (Reveal the card as you exile it.)","rare",1,0.32
4,"As long as you control an artifact, Aerial Engineer gets +2/+0 and has flying.","uncommon",1,0.08
5,"Flying
Whenever Aerial Extortionist enters the battlefield or deals combat damage to a player, exile up to one target nonland permanent. For as long as that card remains exiled, its owner may cast it.
Whenever another player casts a spell from anywhere other than their hand, draw a card.","rare",3,2.16
1,"Strive — This spell costs {2}{U} more to cast for each target beyond the first.
Any number of target creatures each get +1/+1 and gain flying until end of turn.","common",1,0.04
2,"Target creature gets +1/+1 and gains flying and first strike until end of turn.","common",1,0.04
5,"Enchant creature or Vehicle
As long as enchanted permanent is a Vehicle, it's a creature in addition to its other types.
Enchanted creature gets +2/+2 and has flying.","uncommon",2,0.17
3,"Destroy target creature with flying. You gain 2 life.","common",2,0.01
3,"Flying
Whenever Aerial Surveyor attacks, if defending player controls more lands than you, search your library for a basic Plains card, put it onto the battlefield tapped, then shuffle.
Crew 2","rare",2,0.4
4,"Flying
{3}{W}, Sacrifice another artifact: Aerial Toastmaster assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)","uncommon",1,0.09
1,"Aerial Volley deals 3 damage divided as you choose among one, two, or three target creatures with flying.","common",1,0.03
4,"Flying
When Aerialephant enters the battlefield, you get {TK}, then you may put a sticker on a nonland permanent you own.","common",2,0.01
4,"Reach (This creature can block creatures with flying.)
Megamorph {5}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)","common",2,0.07
5,"Flying
{1}{G}{U}: Creatures you control gain shroud until end of turn. (They can't be the targets of spells or abilities.)","uncommon",3,0.1
5,"Sacrifice Aerie Ouphes: It deals damage equal to its power to target creature with flying.
Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)","common",1,0.23
4,"Inspired — Whenever Aerie Worshippers becomes untapped, you may pay {2}{U}. If you do, create a 2/2 blue Bird enchantment creature token with flying.","uncommon",1,0.09
3,"Flying
{2}{G}{U}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)","common",1,0.02
4,"Flying
Vehicles you control have flying.","uncommon",3,0.1
5,"Flying
When Aeronaut Cavalry enters the battlefield, put a +1/+1 counter on another target Soldier you control.","common",1,0.01
3,"Aeronaut Tinkerer has flying as long as you control an artifact. (It can't be blocked except by creatures with flying or reach.)","common",3,0.11
2,"Equipped creature gets +1/+0 and has flying.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)","common",1,0.02
1,"Choose an artist. Exile the top six cards of your library, then reveal cards from the top of your library until you reveal a card with art by the chosen artist. Put that card in your hand and exile all other cards revealed this way.","rare",2,0.34
3,"Flying
Aesthir Glider can't block.","common",5,0.02
3,"When Aether Adept enters the battlefield, return target creature to its owner's hand.","common",3,0.14
3,"Whenever a player casts a creature spell, that player sacrifices a permanent unless they pay {1}.","rare",1,2.1
2,"Return up to X target creatures to their owners' hands, where X is one plus the number of cards named Aether Burst in all graveyards as you cast this spell.","common",1,0.09
5,"Whenever a Beast enters the battlefield under your control, you may have it deal 4 damage to target opponent or planeswalker.","uncommon",1,0.17
2,"Kicker {3} (You may pay an additional {3} as you cast this spell.)
Aether Figment can't be blocked.
If Aether Figment was kicked, it enters the battlefield with two +1/+1 counters on it.","uncommon",2,0.13
4,"Whenever a creature enters the battlefield, Aether Flash deals 2 damage to it.","uncommon",4,0.64
5,"Return six target nonland permanents to their owners' hands.","uncommon",6,0.21
2,"Choose target spell or permanent that's red or green. Its owner puts it on the top or bottom of their library.","rare",2,4.94
5,"Return target permanent to its owner's hand. Return target permanent card from your graveyard to your hand.","uncommon",1,0.02
4,"When Aether Herder enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Herder attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.","common",1,0.01
3,"Defender; reach (This creature can block creatures with flying.)
Whenever Aether Membrane blocks a creature, return that creature to its owner's hand at end of combat.","uncommon",2,0.31
3,"At the beginning of your upkeep, discard a card at random. If you discard a creature card this way, return it from your graveyard to the battlefield unless any player pays 5 life.","rare",1,0.53
7,"Reveal Aether Searcher as you draft it. Reveal the next card you draft and note its name.
When Aether Searcher enters the battlefield, you may search your hand and/or library for a card with a name noted as you drafted cards named Aether Searcher. You may cast it without paying its mana cost. If you searched your library this way, shuffle.","rare",1,0.21
5,"Remove all counters from all permanents and exile all tokens.","rare",4,0.39
1,"{U}, Sacrifice Aether Spellbomb: Return target creature to its owner's hand.
{1}, Sacrifice Aether Spellbomb: Draw a card.","common",7,0.13
4,"Whenever an opponent casts a creature spell, Aether Sting deals 1 damage to that player.","uncommon",1,0.39
1,"As an additional cost to cast this spell, discard X creature cards.
Return X target creatures to their owners' hands.","common",1,0.07
